Date;Open;High;Low;Close;Adj Close;Volume
1/2/2021;3242,360107;3350,26001;3235,030029;3342,879883;3342,879883;4160200
2/2/2021;3380;3427,73999;3361,129883;3380;3380;7098600
3/2/2021;3425,01001;3434;3308,620117;3312,530029;3312,530029;7088800
4/2/2021;3330;3347;3277,75;3331;3331;3670700
5/2/2021;3319;3377;3302,709961;3352,149902;3352,149902;3620800
8/2/2021;3358,5;3365;3304;3322,939941;3322,939941;3257400
9/2/2021;3312,48999;3338;3297,840088;3305;3305;2203500
10/2/2021;3314;3317,949951;3254;3286,580078;3286,580078;3151600
11/2/2021;3292;3292;3248,060059;3262,129883;3262,129883;2301400
12/2/2021;3250;3280,25;3233,310059;3277,709961;3277,709961;2335300
16/2/2021;3254,050049;3308,300049;3253,590088;3268,949951;3268,949951;2574700
17/2/2021;3263,600098;3320,909912;3259,5;3308,639893;3308,639893;3297500
18/2/2021;3282,419922;3338;3273,939941;3328,22998;3328,22998;3027400
19/2/2021;3328,22998;3333,5;3245,75;3249,899902;3249,899902;4305200
22/2/2021;3208,129883;3232,320068;3172,26001;3180,73999;3180,73999;3515700
23/2/2021;3127,030029;3204,72998;3093,600098;3194,5;3194,5;4677200
24/2/2021;3166,75;3171,22998;3125,379883;3159,530029;3159,530029;3011300
25/2/2021;3136,73999;3178,26001;3047,76001;3057,159912;3057,159912;4533800
26/2/2021;3095,199951;3122,439941;3036,699951;3092,929932;3092,929932;4275900
1/3/2021;3127,889893;3149,560059;3097,98999;3146,139893;3146,139893;2729100
2/3/2021;3143,469971;3163,52002;3087,120117;3094,530029;3094,530029;2595800
3/3/2021;3081,179932;3107,780029;2995;3005;3005;3988700
4/3/2021;3012;3058,129883;2945,429932;2977,570068;2977,570068;5481600
5/3/2021;3005;3009;2881;3000,459961;3000,459961;5388600
8/3/2021;3015;3064,590088;2951,310059;2951,949951;2951,949951;4185000
9/3/2021;3017,98999;3090,959961;3005,149902;3062,850098;3062,850098;4030000
10/3/2021;3098,449951;3116,459961;3030,050049;3057,639893;3057,639893;3012500
11/3/2021;3104,01001;3131,780029;3082,929932;3113,590088;3113,590088;2776400
12/3/2021;3075;3098,97998;3045,5;3089,48999;3089,48999;2421900
15/3/2021;3074,570068;3082,23999;3032,090088;3081,679932;3081,679932;2913600
16/3/2021;3104,969971;3128,909912;3075,860107;3091,860107;3091,860107;2538800
17/3/2021;3073,219971;3173,050049;3070,219971;3135,72998;3135,72998;3118600
18/3/2021;3101;3116,629883;3025;3027,98999;3027,98999;3649600
19/3/2021;3029,22998;3077,290039;3016,629883;3074,959961;3074,959961;4625400
22/3/2021;3067,850098;3126,580078;3060,050049;3110,870117;3110,870117;2902200
23/3/2021;3127;3182;3120,850098;3137,5;3137,5;3817300
24/3/2021;3151,040039;3160,310059;3085,149902;3087,070068;3087,070068;2959000
25/3/2021;3072,98999;3109,780029;3037,139893;3046,26001;3046,26001;3563500
26/3/2021;3044,060059;3056,659912;2996;3052,030029;3052,030029;3312900
29/3/2021;3055,439941;3091,25;3028,449951;3075,72998;3075,72998;2746000
30/3/2021;3070,01001;3073;3034;3055,290039;3055,290039;2337600
31/3/2021;3064,060059;3119,330078;3062,5;3094,080078;3094,080078;3093900
1/4/2021;3117,939941;3162,439941;3115,550049;3161;3161;2940300
5/4/2021;3173;3235,959961;3161,23999;3224,072998;3226,72998;3334900
6/4/2021;3223,75;3247,310059;3217,040039;3223,820068;3223,820068;2537800
7/4/2021;3233,800049;3303,610107;3223,649902;3279,389893;3279,389893;3346200
8/4/2021;3310,899902;3324,5;3292;3299,300049;3299,300049;2812100
9/4/2021;3304,699951;3372,199951;3288,899902;3372,199951;3372,199951;4341500
12/4/2021;3355,209961;3395,040039;3351,149902;3379,389893;3379,389893;3281800
13/4/2021;3400,850098;3432;3395,629883;3400;3400;3315800
14/4/2021;3404,040039;3404,129883;3326;3333;3333;3145200
15/4/2021;3371;3397;3352;3379,090088;3379,090088;3233600
16/4/2021;3380;3406,800049;3355,590088;3399,439941;3399,439941;3186000
19/4/2021;3390,330078;3435,929932;3360,159912;3372,01001;3372,01001;2725400
20/4/2021;3373,600098;3382,98999;3316;3334,689941;3334,689941;2623000
21/4/2021;3316;3362,860107;3303,810059;3362,02002;3362,02002;2211200
22/4/2021;3371,679932;3372,870117;3301,449951;3309,040039;3309,040039;2580600
23/4/2021;3319,100098;3375;3308,5;3340,879883;3340,879883;3192800
26/4/2021;3348;3428,449951;3330,939941;3409;3409;4880700
27/4/2021;3443,469971;3460;3398,01001;3417,429932;3417,429932;3827100
28/4/2021;3434,800049;3489,879883;3425;3458,5;3458,5;4631900
29/4/2021;3505,100098;3514,449951;3435;3471,310059;3471,310059;7682400
30/4/2021;3525,120117;3554;3462,5;3467,419922;3467,419922;7009300
3/5/2021;3484,72998;3486,649902;3372,699951;3386,48999;3386,48999;5875500
4/5/2021;3356,189941;3367,97998;3272,129883;3311,870117;3311,870117;5439400
5/5/2021;3338,860107;3354,699951;3264,360107;3270,540039;3270,540039;3711300
6/5/2021;3270;3314,399902;3247,199951;3306,370117;3306,370117;4447700
7/5/2021;3319,090088;3330,889893;3289,070068;3291,610107;3291,610107;4710300
10/5/2021;3282,320068;3283;3190;3190,48999;3190,48999;5838600
11/5/2021;3136,280029;3238;3127,370117;3223,909912;3223,909912;4619800
12/5/2021;3185;3207,939941;3133,100098;3151,939941;3151,939941;4936400
13/5/2021;3185,469971;3203,840088;3133;3161,469971;3161,469971;3350900
14/5/2021;3185,560059;3228,860107;3183;3222,899902;3222,899902;3325000
17/5/2021;3245,929932;3292,75;3234,590088;3270,389893;3270,389893;3723900
18/5/2021;3292,580078;3312;3230,370117;3232,280029;3232,280029;2828400
19/5/2021;3195;3234,75;3184;3231,800049;3231,800049;2679700
20/5/2021;3244,399902;3259,679932;3236,179932;3247,679932;3247,679932;2633200
21/5/2021;3250;3256,689941;3197,01001;3203,080078;3203,080078;4104900
24/5/2021;3215,5;3257,949951;3210,5;3244,98999;3244,98999;2422800
25/5/2021;3266,669922;3279,820068;3213,76001;3259,050049;3259,050049;3261100
26/5/2021;3274,590088;3295,72998;3258,51001;3265,159912;3265,159912;2384000
27/5/2021;3256;3260,360107;3230,040039;3230,110107;3230,110107;2561200
28/5/2021;3242;3247,98999;3219,699951;3223,070068;3223,070068;2329800
1/6/2021;3243,5;3250,97998;3209,060059;3218,649902;3218,649902;2430000
2/6/2021;3223,100098;3235;3208;3233,98999;3233,98999;2014500
3/6/2021;3204,22998;3214,439941;3184,030029;3187,01001;3187,01001;2398300
4/6/2021;3212;3221;3198,810059;3206,219971;3206,219971;2249700
7/6/2021;3197,330078;3208;3172,199951;3198,01001;3198,01001;2215800
8/6/2021;3222,610107;3279,530029;3218,01001;3264,110107;3264,110107;3416700
9/6/2021;3272,870117;3297,580078;3270,699951;3281,149902;3281,149902;2455500
10/6/2021;3282,01001;3351;3281,149902;3349,649902;3349,649902;3476500
11/6/2021;3349,649902;3366,580078;3333,449951;3346,830078;3346,830078;2817400
14/6/2021;3346,830078;3385;3335,5;3383,870117;3383,870117;2569700
15/6/2021;3384;3396,98999;3363,110107;3383,129883;3383,129883;2426200
16/6/2021;3392;3426,350098;3360,530029;3415,25;3415,25;4202800
17/6/2021;3403,179932;3497,199951;3401;3489,23999;3489,23999;5136500
18/6/2021;3479,98999;3507;3473,709961;3486,899902;3486,899902;5247700
21/6/2021;3476,419922;3482;3434;3453,959961;3453,959961;3277100
22/6/2021;3458,060059;3523,780029;3456,090088;3505,439941;3505,439941;3345100
23/6/2021;3505;3521;3483,199951;3503,820068;3503,820068;2813300
24/6/2021;3507,639893;3524,860107;3430,850098;3449,080078;3449,080078;3832000
25/6/2021;3464;3464,820068;3394,179932;3401,459961;3401,459961;3941000
28/6/2021;3416;3448;3413,51001;3443,889893;3443,889893;2242800
29/6/2021;3438,820068;3456,030029;3423,030029;3448,139893;3448,139893;2098400
30/6/2021;3441,060059;3471,600098;3435;3440,159912;3440,159912;2404000
1/7/2021;3434,610107;3457;3409,419922;3432,969971;3432,969971;2037100
2/7/2021;3451,639893;3511,719971;3436,919922;3510,97998;3510,97998;3169400
6/7/2021;3530,110107;3685,47998;3529;3675,73999;3675,73999;6744800
7/7/2021;3717,379883;3734,199951;3678,909912;3696,580078;3696,580078;5328100
