X,Y
1.7620391169729297,2.433001970317506
2.240821216045612,2.3071687802961254
3.5800560910424464,4.2350636379204945
2.566525010224399,3.3214798049160796
3.494136951370454,3.0901205269191716
1.7106374486267384,4.381075735738014
2.0112112194183878,3.6738913132591393
2.2433935768317057,1.40843642781546
2.821795321281409,4.968474765813786
1.7132102906134234,1.359619701406996
3.602391362828399,5.148359439695642
3.5115471941700704,3.545361626731851
3.1453915958822014,4.210894175664653
4.270949437317296,5.338137617430068
3.63006506227205,5.3265953185777155
3.3249923137193984,3.523814546488834
2.6726766971311386,3.4151467056452725
2.8530012014548958,3.767819058590985
4.184266422114149,3.2621772463768592
3.3659310519583077,4.028688105825151
3.8009479319688815,4.580386766523069
4.031924115193166,4.25472373397273
2.1907768787925463,4.4316276885027275
3.101066614184636,4.494203122444633
2.7446785522521764,1.9746759173220316
2.7998535198723213,4.382692650661832
3.1472463847794225,3.4187209620454784
2.5297938583037927,3.348510116429771
3.234569031846968,5.331162654076662
3.928559314508818,5.830134049106331
3.7376828001593916,4.27976776009849
3.488210046025015,6.282889152050337
1.904763830144413,1.068148658816535
2.8864439943511786,4.458357548906131
4.27115243747696,4.785379875537693
2.155001713240889,1.7313907937943762
3.8266916509722027,4.324454751014765
3.532126597331991,4.845459787852876
2.576063108815099,3.1350399358763457
2.970614941009849,2.2254363427385506
3.1207820531537314,4.744407309540946
1.781825612307338,2.035622709283783
2.8644840694297438,2.3568923861277558
2.293680201379077,3.13372294218551
2.857562725394019,4.150808063902176
2.426570280855099,2.503901337499397
2.5265013604985427,5.20826379303431
2.1813112956436918,3.314671593136557
2.848752885015963,4.328002707620795
3.3076507040356473,4.995031236638332
3.0883684697558063,3.816940357500853
3.1732957454384216,4.605280859095038
1.9827427687408314,1.92945489801857
1.2354902462254564,2.747016245743769
3.904765364823524,3.595397252185726
2.872767839730973,3.3958914598771908
3.8808442216013495,5.398631837524675
3.972394816789315,7.307825427561378
2.0245093424310876,4.515748008818965
4.427729489006533,4.831266940564958
3.3249547718169303,4.968303556910525
2.568148506009877,4.482267379146712
3.062479242106073,5.5337289717752824
2.5829671150274307,4.104812522077527
3.0004977935155264,4.549789553377648
2.591318620133485,2.574950057054818
2.4902719692545356,4.43642499852805
2.4817874815159895,5.808088623208748
0.8975203967854619,0.6224093620221738
2.41002150636434,3.211223477327514
2.9229308865846493,3.0281656632922527
3.0653755069654123,3.9161239734111954
3.0277772277298527,4.330985389412483
2.4292083403095153,5.579692771091344
2.201009416941992,4.85050773098951
3.8405483959654187,5.11493505156348
2.333936066413956,3.085514658412323
3.2424412806760614,5.115516618475419
4.066760690401274,5.594082149306818
3.419831678379181,4.48629449399358
2.800027687317398,4.667140459846151
2.789932655577264,4.396732157177842
3.052342828324407,3.1960643813637972
3.2741111801839913,3.9269031651065283
3.4313635996353127,3.148195553786805
1.961383074190354,3.2426064406968345
2.174534715197729,3.402835971139339
2.5242892566132498,2.48688244096738
3.474815793160474,4.719598639428264
4.496651908620067,5.7405061737844845
3.329718802523817,4.177948681742138
4.624385876574362,5.274119645015223
3.3015453067096794,5.609254890230201
2.9519769783157073,3.6728731992439743
2.402504942650183,4.057745926149606
3.373019300465012,3.850259592000932
3.6077652600028105,4.42078598413963
1.8389829240143618,1.586750790953836
2.4524381741496653,3.7001728769587023
3.230419217051875,3.6712486637912556
